SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,Per_SQUARE_FEET,HOA_MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-17-2020,Single Family Residential,275 Dudley Rd,Newton,MA,2459,2555000,7,7.5,Newton Center,8206,85421,1996,6,311,,Sold,,,http://www.redfin.com/MA/Newton/275-Dudley-Rd-02459/home/11480462,MLS PIN,72663888,N,Y,42.3123404,-71.1818448
PAST SALE,December-4-2020,Single Family Residential,33 Hancock Ave,Newton,MA,2459,3360000,6,5.5,Newton Centre,5804,18522,1930,19,579,,Sold,,,http://www.redfin.com/MA/Newton/33-Hancock-Ave-02459/home/11465503,MLS PIN,72711301,N,Y,42.3315747,-71.2020508
PAST SALE,December-18-2020,Single Family Residential,15 Hancock Ave,Newton,MA,2459,1875000,6,5.5,Newton Center,4418,8542,1896,5,424,,Sold,,,http://www.redfin.com/MA/Newton/15-Hancock-Ave-02459/home/11498195,MLS PIN,72735088,N,Y,42.3311313,-71.2010595
PAST SALE,November-24-2020,Single Family Residential,44 Lewis St,Newton,MA,2458,849000,3,1.5,Newton,1352,6600,1927,29,628,,Sold,,,http://www.redfin.com/MA/Newton/44-Lewis-St-02458/home/11411633,MLS PIN,72735509,N,Y,42.351806,-71.1953741
PAST SALE,December-7-2020,Single Family Residential,21 Oakwood Rd,Newton,MA,2466,729000,3,2,Auburndale,1248,7321,1958,16,584,,Sold,,,http://www.redfin.com/MA/Auburndale/21-Oakwood-Rd-02466/home/11440617,MLS PIN,72737125,N,Y,42.3412008,-71.2534309
PAST SALE,December-10-2020,Single Family Residential,19 Fern St,Newton,MA,2466,851000,3,1.5,Auburndale,1260,10160,1921,13,675,,Sold,,,http://www.redfin.com/MA/Auburndale/19-Fern-St-02466/home/11440559,MLS PIN,72742333,N,Y,42.3428468,-71.252178
PAST SALE,December-2-2020,Single Family Residential,17 Brandeis Rd,Newton,MA,2459,1050000,4,3.5,Oak Hill,2044,10023,1957,21,514,,Sold,,,http://www.redfin.com/MA/Newton/17-Brandeis-Rd-02459/home/166991624,MLS PIN,72731653,N,Y,42.3126052,-71.1933784
PAST SALE,December-4-2020,Single Family Residential,139 Gibbs St,Newton,MA,2459,2350000,4,2.5,Newton Center,3814,17873,1880,19,616,,Sold,,,http://www.redfin.com/MA/Newton/139-Gibbs-St-02459/home/11459525,MLS PIN,72742990,N,Y,42.3334829,-71.1903848
PAST SALE,December-1-2020,Single Family Residential,18 Mountfort Rd,Newton,MA,2461,1151000,4,2,Newton Highlands,1795,5812,1910,22,641,,Sold,,,http://www.redfin.com/MA/Newton/18-Mountfort-Rd-02461/home/11447813,MLS PIN,72728282,N,Y,42.3214571,-71.2124997
PAST SALE,November-30-2020,Single Family Residential,62 Theodore Rd,Newton,MA,2459,940000,3,2.5,Thompsonville,1787,8294,1935,23,526,,Sold,,,http://www.redfin.com/MA/Newton/62-Theodore-Rd-02459/home/11480043,MLS PIN,72704414,N,Y,42.3142462,-71.1931927
PAST SALE,December-11-2020,Single Family Residential,57 Cherry Pl,Newton,MA,2465,710000,3,2,West Newton,1561,12363,1832,12,455,,Sold,,,http://www.redfin.com/MA/Newton/57-Cherry-Pl-02465/home/11495145,MLS PIN,72661818,N,Y,42.3567611,-71.2305527
